L 11/24/2020 - 08:04:46: Log file started (file "cstrike/addons/amxmodx/logs/antireklama.log") (game "cstrike") (amx "1.9.0.5271")
L 12/19/2020 - 22:34:37: Nick: Даня | ID: STEAM_1:0:1026620751 | IP: 176.105.210.53 | Country: error | : 00000000000000000000000000000
L 12/20/2020 - 13:09:58: Nick: minibam | ID: STEAM_0:1:189314915 | IP: 92.38.68.168 | Country: error | 9 555555555555555555
L 12/20/2020 - 15:29:42: Nick: SKILL | ID: STEAM_1:0:1138770822 | IP: 145.255.1.235 | Country: error | 888888888888888  8 88 
L 12/20/2020 - 15:30:53: Nick: SKILL | ID: STEAM_1:0:1138770822 | IP: 145.255.1.235 | Country: error | 8 88 8 8 8 8 8 8 8 8  88  88  8 8
L 12/20/2020 - 15:39:06: Nick: Neki | ID: STEAM_1:0:240611303 | IP: 176.213.208.52 | Country: error | 15,86666666666
L 12/20/2020 - 15:39:28: Nick: Neki | ID: STEAM_1:0:240611303 | IP: 176.213.208.52 | Country: error | 15,86666666666
L 12/21/2020 - 17:52:51: Nick: MiSteR_WeV_PoVaR_ | ID: STEAM_1:0:1812503923 | IP: 31.130.76.69 | Country: error | 2222222222222222
L 12/21/2020 - 19:45:19: Nick: Nesquik | ID: STEAM_1:0:201390745 | IP: 78.106.86.143 | Country: error | 66666666666666
L 12/22/2020 - 19:32:08: Nick: CTarЬIu | ID: STEAM_1:0:1718226929 | IP: 95.47.255.16 | Country: error | 44444444444444444444444444444444444
L 12/22/2020 - 22:06:08: Nick: задиак | ID: STEAM_1:0:691478839 | IP: 93.119.144.4 | Country: error | 888888888888888
L 12/23/2020 - 06:03:04: Nick: unnamed | ID: STEAM_1:0:136575585 | IP: 92.252.182.171 | Country: error | 55555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555
L 12/23/2020 - 21:18:58: Nick: LALKA228 | ID: STEAM_1:0:976715647 | IP: 85.173.126.184 | Country: error | 46.174.52.22:27260
L 12/24/2020 - 14:19:44: Nick: cacke | ID: STEAM_1:0:64461917 | IP: 212.90.62.69 | Country: error | 22222222222222222222-__=
L 12/24/2020 - 14:33:58: Nick: T1NK | ID: STEAM_1:0:957420167 | IP: 62.133.162.169 | Country: error | ну ладно 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
L 12/25/2020 - 15:40:54: Nick: BOMBist | ID: STEAM_1:0:525850215 | IP: 178.44.97.213 | Country: error | 11111111111111111111111111111'''''''''''''
L 12/25/2020 - 19:11:48: Nick: максим | ID: STEAM_1:0:691478839 | IP: 93.119.144.4 | Country: error | 88888888888888
